id,stock_id,stock_arabic_name,stock_name,sector,bio_en,bio_ar,latest_price,updated_at
"2","2030","المصافي","SARCO","6","To do the work of petroleum in all its branches and all aspects of activity related and to implement water projects and land reform, utilities, transport and all business and industrial and commercial projects and the work of commercial agencies and the e","القيام بالأعمال البترولية بجميع فروعها وبكافة أوجه النشاط المتعلقة بها والقيام بتنفيذ مشروعات المياه وإصلاح الأراضي والمرافق والنقل وكافة الأعمال والمشروعات الصناعية والتجارية وأعمال الوكالات التجارية وتأسيس الشركات وشراء الأسهم.المشاركة مع الشركة السعودي","92.7","2023-06-13 07:50:03"
"3","2380","بترو رابغ","Petro Rabigh","6","Construct and operate comprehensive refining and petrochemical complex under license No. (495/1) dated 05/14/1426 AH issued by the Saudi Arabian General Investment Authority (SAGIA).","انشاء وتشغيل مجمع متكامل لتكرير البترول والبتروكيماويات بموجب الترخيص الصادر من الهيئة العامة للأستثمار رقم(495/1) بتاريخ 14/05/1426هـ","11.6","2023-06-13 07:50:03"
"4","4030","البحري","Bahri","6","Bahri and its affiliates are active in the areas of acquisition, selling and operating cargo ships, participate in marine transportation, agencies of marine transportation companies, cargo clearance and stacking onboard of ships, means of transportation a","يتمثل النشاط الرئيسي للشركة والشركات التابعة لها في شراء وبيع البواخر والسفن وتشغيلها لنقل البضائع، إلى جانب المشاركة في عمليات النقل البحري ووكالات شركات الملاحة البحرية وتخليص البضائع وتنسيقها على ظهر البواخر ووسائل النقل والتخزين وجميع العمليات المرتبطة بالنقل البحري.","32.75","2023-06-13 07:50:03"
"5","4200","الدريس","Aldrees","6","The purpose of establishing this company is: Retail and Wholesale trade of fuel, oil, gas, car spare parts, tires, batteries. Cargo services, bulk transportation of all kinds of goods and products, water, chemicals, etc., on the road inside & outside KSA ","يتمثل النشاط الرئيسي للشركة في الخدمات البترولية وخدمات النقليات من خلال تجارة الجملة والتجزئة في الوقود والزيوت ومواد التشحيم بجانب مجال نقل البضائع وتشغييل ورش الصيانة لتأمين صيانة متاكملة للأسطول الذي تمتلكه الشركة.
","122.8","2023-06-13 07:45:04"
"6","1201","تكوين","Takween","11","The company is a manufacturer of plastic packaging products and nonwoven fabrics.
","صناعة منتجات التغليف البلاستيكية والأقمشة غير المنسوجة.
","9.94","2023-06-13 07:35:03"
"7","1202","مبكو","MEPCO","11","The company is a manufacturer of ABS Kraft, high-performance fluting, among other paper products. It is a retail and wholesale seller of paper, paper products and stationary.
","تعمل في صناعة ورق الكرافت والورق المتعرج وتجارة الجملة والتجزئة في الورق ومنتجاته والأدوات الكتابية.
","34.95","2023-06-13 07:45:04"
"8","1210","بى سى آى","BCI","11","BCI is engaged in the manufacture of hydrochloric acid, caustic soda, chlorine gas, sodium hypochlorite and other chemicals associated with concrete treatment chemicals, detergents, and calcium chloride. The group companies are engaged in the manufacture ","تقوم شركة الصناعات الكيميائية الأساسية بأنتاج حامض الهيدروكلوريك والصودا الكاوية وغاز الكلور وهيبوكلوريت الصوديوم وكلوريد الكالسيوم و تقوم بصناعة الكيماويات المستخدمة فى معالجة الزيت والغاز وكيماويات معالجة الطرق وكيماويات المنظفات والمنسوجات والتعدين واللواصق على الساخن والبارد","39.85","2023-06-13 07:50:03"
"9","1211","معادن","MAADEN","11","To engage in the various aspects of mining activities relating to all stages of the mining industry,","ممارسة مختلف أوجه النشاط التعديني التي تتعلق بكل مراحل صناعة التعدين,","42.65","2023-06-13 07:50:03"
"10","1301","أسلاك","ASLAK","11","The purpose of the company is the production and marketing of reinforcing iron bars, rebar netting, straightening and cutting of rebar, fencing nails, wood nails, carpentry, metal clothes hangers, bonding wires (for concrete), metal bonding wires for conc","غرض الشركة هو إنتاج وتسويق قضبان الحديد التسليح وشبك حديد التسليح وإستعدال وتقطيع حديد التسليح وشبك أسوار ومسامير خشب ونجارة وعلاقات ملابس معدنية وأسلاك تربيط ( لبانة) وأسلاك تربيط معدنية للخرسانة وأسلاك صلب مطلية ومسحوبة ومجلفنة وأشرطة تربيط معدنية وأسلا","28.9","2023-06-13 07:50:03"
"11","1304","اليمامة للحديد","ALYAMAMAH STEEL","11","Production and selling of steel welded tubes, steel sheets,steel reinforcement bars and three dimension space structures to serve buildings and infra structure sector .Production and selling of galvanized steel lighting and distribution poles, high mast a","تتمثل النشاطات الرئيسة للشركة في إنتاج وبيع المنتجات الحديدية من قطاعات حديدية مجوفة وأنابيب صلب ملحومة طولية و صاج و حديد التسليح والهياكل الفراغية ثلاثية الأبعاد لخدمة المنشأت والمباني ،وإنتاج وبيع الأعمدة و الصواري الحديدية لتوزيع الطاقة الكهربائية وإنارة الطرق والميادين والأبراج الحديدية لنقل الطاقة الكهربائية والحاملة الهوائية في مجال الإتصالات.","27.6","2023-06-13 07:45:04"
